ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB0001,AT,Génesis,Génesis 6:14,Basico,¿A quién se le indicó construir un arca?,A Noé,A Abraham,A Moisés,A David,A,A Noé,La instrucción fue dada a Noé en el contexto del relato del diluvio.,Verificado,Si,No
QB0002,AT,Génesis,Génesis 12:1,Basico,¿A quién llamó Dios para salir de su tierra y dirigirse a otra tierra?,A Isaac,A Jacob,A Abraham,A José,C,A Abraham,El llamado de Génesis 12:1 está dirigido a Abraham.,Revisar,No,No
QB0003,AT,Génesis,Génesis 22:2,Basico,¿Qué hijo de Abraham aparece en el relato de Génesis 22:2?,Ismael,Isaac,Esaú,Jacob,B,Isaac,El relato identifica a Isaac como el hijo mencionado en esta escena.,Revisar,No,No
QB0004,AT,Génesis,Génesis 25:24-26,Basico,¿Qué gemelos nacieron de Rebeca?,Caín y Abel,Jacob y Esaú,José y Benjamín,Efraín y Manasés,B,Jacob y Esaú,El pasaje relata el nacimiento de Esaú y Jacob.,Revisar,No,No
QB0005,AT,Génesis,Génesis 28:12,Basico,¿Qué vio Jacob en su sueño?,Una escalera que llegaba al cielo,Un río de fuego,Un templo en Jerusalén,Un carro de guerra,A,Una escalera que llegaba al cielo,Jacob soñó con una escalera que comunicaba la tierra y el cielo.,Revisar,No,No
QB0006,AT,Génesis,Génesis 37:3,Basico,¿Qué regalo especial recibió José de su padre?,Una túnica especial,Un anillo de oro,Un bastón,Una espada,A,Una túnica especial,Jacob mostró un afecto especial hacia José y le dio una túnica distinguida.,Revisar,No,No
QB0007,AT,Génesis,Génesis 41:30,Intermedio,¿Qué anunció José que seguiría a los años de abundancia en Egipto?,Siete años de hambre,Siete años de guerra,Siete años de lluvia,Siete años de descanso,A,Siete años de hambre,José interpretó el sueño del faraón como siete años de abundancia seguidos por siete de hambre.,Revisar,No,No
QB0008,AT,Génesis,Génesis 45:4,Basico,¿A quiénes reveló José finalmente su identidad?,A sus hermanos,Al faraón,A los sacerdotes egipcios,A sus hijos,A,A sus hermanos,José se dio a conocer a sus hermanos durante el reencuentro en Egipto.,Revisar,No,No
QB0009,AT,Génesis,Génesis 1:3,Basico,¿Qué fue creado cuando Dios dijo que hubiera luz?,La luz,El mar,La luna,Las estrellas,A,La luz,El relato de la creación presenta la aparición de la luz tras la orden divina.,Revisar,No,No
QB0010,AT,Génesis,Génesis 2:7,Basico,¿De qué formó Dios al ser humano según Génesis 2:7?,Del polvo de la tierra,De una roca,Del agua,Del fuego,A,Del polvo de la tierra,El relato describe al ser humano formado del polvo de la tierra.,Revisar,No,No
