ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB0001,AT,Génesis,Génesis 6:14,Basico,¿A quién se le indicó construir un arca?,A Noé,B Abraham,C Moisés,D David,A,Noé,Dios instruyó a Noé para construir un arca.,Revisar,No,No
QB0002,AT,Génesis,Génesis 7:12,Basico,¿Cuánto tiempo llovió durante el diluvio?,A 7 días,B 12 días,C 40 días y 40 noches,D 70 días,C,40 días y 40 noches,El relato indica que la lluvia duró cuarenta días y cuarenta noches.,Revisar,No,No
QB0003,AT,Génesis,Génesis 12:1,Intermedio,¿Qué instrucción recibió Abram al inicio de su llamado?,A Permanecer en Ur,B Salir de su tierra,C Viajar a Egipto,D Construir un templo,B,Salir de su tierra,Abram recibió el llamado de dejar su tierra y dirigirse al lugar que Dios le mostraría.,Revisar,No,No
QB0004,AT,Génesis,Génesis 22:2,Intermedio,¿A quién debía ofrecer Abraham según la prueba narrada?,A Isaac,B Ismael,C Lot,D Esaú,A,Isaac,La prueba de Abraham estuvo relacionada con su hijo Isaac.,Revisar,No,No
QB0005,AT,Génesis,Génesis 28:12,Basico,¿Qué vio Jacob en su sueño?,A Un arca,B Una escalera que llegaba al cielo,C Un templo,D Un río,B,Una escalera que llegaba al cielo,Jacob soñó con una escalera entre la tierra y el cielo.,Revisar,No,No
QB0006,AT,Génesis,Génesis 37:3,Basico,¿Qué regalo especial recibió José de su padre?,A Un anillo,B Una túnica especial,C Un bastón,D Un caballo,B,Una túnica especial,Jacob mostró especial afecto por José y le dio una túnica distintiva.,Revisar,No,No
QB0007,AT,Génesis,Génesis 41:30,Intermedio,¿Qué anunció José que seguiría a los años de abundancia en Egipto?,A Siete años de hambre,B Una guerra,C Una inundación,D Un éxodo,A,Siete años de hambre,José interpretó que después de siete años de abundancia vendrían siete años de hambre.,Revisar,No,No
QB0008,AT,Génesis,Génesis 45:4,Basico,¿A quiénes reveló José finalmente su identidad?,A A los egipcios,B A sus hermanos,C A los sacerdotes,D A los comerciantes,B,A sus hermanos,José se dio a conocer a sus hermanos después de probarlos.,Revisar,No,No
QB0009,AT,Génesis,Génesis 1:3,Basico,¿Qué fue creado cuando Dios dijo que hubiera luz?,A El firmamento,B La luz,C Los animales,D El ser humano,B,La luz,El relato de la creación presenta la aparición de la luz mediante la palabra divina.,Revisar,No,No
QB0010,AT,Génesis,Génesis 2:7,Basico,¿De qué formó Dios al ser humano según el relato?,A Del polvo de la tierra,B Del agua,C De una piedra,D Del fuego,A,Del polvo de la tierra,El relato describe la formación del ser humano a partir del polvo de la tierra.,Revisar,No,No
